mode,offered_rps,effective_rps,ideal_goodput_rps,goodput_rps,wasted_pct,p50_ms,p99_ms,avg_queue_depth
no-retry,25,25.0,25.0,25.0,0.0,10.0,10.0,0.00
no-retry,50,50.0,50.0,50.0,0.0,10.0,10.0,0.00
no-retry,75,75.0,75.0,75.0,0.0,10.0,10.0,0.00
no-retry,90,90.0,90.0,90.0,0.0,10.0,10.0,0.00
no-retry,100,100.0,100.0,100.0,0.0,10.0,10.0,0.00
no-retry,110,110.0,100.0,42.0,61.8,259.0,505.0,25.41
no-retry,125,125.0,100.0,19.2,84.6,634.0,1246.0,62.80
no-retry,150,150.0,100.0,11.6,92.3,1257.0,2483.0,125.17
no-retry,200,200.0,100.0,7.8,96.1,2505.0,4955.0,250.00
no-retry,300,300.0,100.0,5.8,98.1,5003.0,9903.0,500.00
retry,25,25.0,25.0,25.0,0.0,10.0,10.0,0.00
retry,50,50.0,50.0,50.0,0.0,10.0,10.0,0.00
retry,75,75.0,75.0,75.0,0.0,10.0,10.0,0.00
retry,90,90.0,90.0,90.0,0.0,10.0,10.0,0.00
retry,100,100.0,100.0,100.0,0.0,10.0,10.0,0.00
retry,110,281.2,100.0,42.0,85.1,3631.0,8959.0,380.47
retry,125,405.2,100.0,19.2,95.3,7159.0,15103.0,719.71
retry,150,520.4,100.0,11.6,97.8,10183.0,20815.0,1019.89
retry,200,716.6,100.0,7.8,98.9,15167.0,30527.0,1516.80
retry,300,1092.6,100.0,5.8,99.5,24607.0,49151.0,2460.20
