window_start_ms,offered_rps,token_bucket_rps,leaky_bucket_rps
0,20.0,20.0,20.0
100,20.0,20.0,20.0
200,20.0,20.0,20.0
300,20.0,20.0,20.0
400,20.0,20.0,20.0
500,20.0,20.0,20.0
600,20.0,20.0,20.0
700,20.0,20.0,20.0
800,20.0,20.0,20.0
900,20.0,20.0,20.0
1000,600.0,290.0,100.0
1100,600.0,100.0,100.0
1200,20.0,20.0,100.0
1300,20.0,20.0,100.0
1400,20.0,20.0,50.0
1500,20.0,20.0,20.0
1600,20.0,20.0,20.0
1700,20.0,20.0,20.0
1800,20.0,20.0,20.0
1900,20.0,20.0,20.0
2000,20.0,20.0,20.0
2100,20.0,20.0,20.0
2200,610.0,290.0,100.0
2300,600.0,100.0,100.0
2400,20.0,20.0,100.0
2500,20.0,20.0,100.0
2600,20.0,20.0,50.0
2700,20.0,20.0,20.0
2800,20.0,20.0,20.0
2900,20.0,20.0,20.0
3000,20.0,20.0,20.0
3100,20.0,20.0,20.0
3200,20.0,20.0,20.0
3300,20.0,20.0,20.0
3400,610.0,290.0,100.0
3500,600.0,100.0,100.0
3600,20.0,20.0,100.0
3700,20.0,20.0,100.0
3800,20.0,20.0,50.0
3900,20.0,20.0,20.0
4000,20.0,20.0,20.0
4100,20.0,20.0,20.0
4200,20.0,20.0,20.0
4300,20.0,20.0,20.0
4400,20.0,20.0,20.0
4500,20.0,20.0,20.0
4600,600.0,290.0,100.0
4700,600.0,100.0,100.0
4800,20.0,10.0,100.0
4900,20.0,20.0,100.0
