window_start_ms,fifo_p99_ms,tail_drop_p99_ms,expire_p99_ms,lifo_p99_ms
0,10.0,10.0,10.0,10.0
100,10.0,10.0,10.0,10.0
200,10.0,10.0,10.0,10.0
300,10.0,10.0,10.0,10.0
400,10.0,10.0,10.0,10.0
500,10.0,10.0,10.0,10.0
600,10.0,10.0,10.0,10.0
700,10.0,10.0,10.0,10.0
800,10.0,10.0,10.0,10.0
900,10.0,10.0,10.0,10.0
1000,77.0,77.0,77.0,12.0
1100,160.0,160.0,160.0,12.0
1200,243.0,200.0,200.0,12.0
1300,327.0,200.0,200.0,12.0
1400,410.0,200.0,200.0,12.0
1500,493.0,200.0,200.0,73.0
1600,577.0,200.0,200.0,177.0
1700,660.0,200.0,200.0,280.0
1800,743.0,175.0,175.0,385.0
1900,827.0,150.0,150.0,488.0
2000,910.0,125.0,125.0,593.0
2100,993.0,100.0,100.0,697.0
2200,1077.0,75.0,75.0,800.0
2300,1160.0,50.0,50.0,905.0
2400,1243.0,25.0,25.0,1008.0
2500,1327.0,77.0,77.0,13.0
2600,1410.0,160.0,160.0,10.0
2700,1493.0,198.0,198.0,10.0
2800,1577.0,198.0,198.0,10.0
2900,1660.0,198.0,198.0,10.0
3000,1743.0,198.0,198.0,72.0
3100,1827.0,198.0,198.0,175.0
3200,1910.0,200.0,200.0,278.0
3300,1993.0,175.0,175.0,383.0
3400,2077.0,150.0,150.0,487.0
3500,2161.0,125.0,125.0,592.0
3600,2243.0,100.0,100.0,695.0
3700,2327.0,75.0,75.0,798.0
3800,2411.0,50.0,50.0,903.0
3900,2493.0,25.0,25.0,1007.0
4000,2511.0,77.0,77.0,13.0
4100,2489.0,160.0,160.0,12.0
4200,2463.0,198.0,198.0,12.0
4300,2439.0,200.0,200.0,12.0
4400,2413.0,200.0,200.0,12.0
4500,2389.0,200.0,200.0,73.0
4600,2363.0,200.0,200.0,177.0
4700,2339.0,200.0,200.0,280.0
4800,2377.0,175.0,175.0,385.0
4900,2461.0,150.0,150.0,488.0
