window_start_ms,blind_critical_pct,priority_critical_pct,blind_background_pct,priority_background_pct
0,100.0,100.0,100.0,100.0
100,100.0,100.0,100.0,100.0
200,100.0,100.0,100.0,100.0
300,100.0,100.0,100.0,100.0
400,100.0,100.0,100.0,100.0
500,100.0,100.0,100.0,100.0
600,100.0,100.0,100.0,100.0
700,100.0,100.0,100.0,100.0
800,100.0,100.0,100.0,100.0
900,100.0,100.0,100.0,100.0
1000,84.6,100.0,78.3,69.6
1100,0.0,100.0,32.3,16.1
1200,33.3,100.0,25.9,0.0
1300,18.2,100.0,32.0,0.0
1400,50.0,100.0,26.5,23.5
1500,100.0,100.0,100.0,100.0
1600,100.0,100.0,100.0,100.0
1700,100.0,100.0,100.0,100.0
1800,100.0,100.0,100.0,100.0
1900,100.0,100.0,100.0,100.0
2000,100.0,100.0,100.0,100.0
2100,100.0,100.0,100.0,100.0
2200,100.0,100.0,100.0,100.0
2300,100.0,100.0,100.0,100.0
2400,100.0,100.0,100.0,100.0
2500,90.9,100.0,76.0,60.0
2600,11.1,100.0,33.3,3.7
2700,25.0,100.0,29.2,4.2
2800,57.1,100.0,20.7,10.3
2900,30.0,100.0,26.9,0.0
3000,100.0,100.0,100.0,100.0
3100,100.0,100.0,100.0,100.0
3200,100.0,100.0,100.0,100.0
3300,100.0,100.0,100.0,100.0
3400,100.0,100.0,100.0,100.0
3500,100.0,100.0,100.0,100.0
3600,100.0,100.0,100.0,100.0
3700,100.0,100.0,100.0,100.0
3800,100.0,100.0,100.0,100.0
3900,100.0,100.0,100.0,100.0
4000,63.6,100.0,88.0,68.0
4100,30.0,100.0,25.9,3.7
4200,14.3,100.0,31.0,10.3
4300,0.0,100.0,32.3,9.7
4400,25.0,100.0,29.2,0.0
4500,100.0,100.0,100.0,100.0
4600,100.0,100.0,100.0,100.0
4700,100.0,100.0,100.0,100.0
