utilization,target_rps,actual_rps,p50_ms,p99_ms,p999_ms,mean_sojourn_ms,avg_queue_depth,rejection_count,littles_law_computed_l,littles_law_measured_l,littles_law_error_pct
0.10,10.0,10.0,10.0,10.0,10.0,10.0,0.00,0,0.100,0.000,0.0
0.20,20.0,20.0,10.0,10.0,10.0,10.0,0.00,0,0.200,0.000,0.0
0.30,30.0,30.0,10.0,10.0,10.0,10.0,0.00,0,0.300,0.000,0.0
0.40,40.0,40.0,10.0,10.0,10.0,10.0,0.00,0,0.400,0.000,0.0
0.50,50.0,50.0,10.0,10.0,10.0,10.0,0.00,0,0.500,0.000,0.0
0.60,60.0,60.0,10.0,10.0,10.0,10.0,0.00,0,0.600,0.000,0.0
0.70,70.0,70.0,10.0,10.0,10.0,10.0,0.00,0,0.700,0.000,0.0
0.80,80.0,80.0,10.0,10.0,10.0,10.0,0.00,0,0.800,0.000,0.0
0.90,90.0,90.0,10.0,10.0,10.0,10.0,0.00,0,0.900,0.000,0.0
0.95,95.0,95.0,10.0,10.0,10.0,10.0,0.00,0,0.950,0.000,0.0
1.00,100.0,100.0,10.0,10.0,10.0,10.0,0.00,0,1.000,0.000,0.0
1.05,105.0,105.0,85.0,109.0,110.0,59.8,4.46,0,6.275,4.457,40.8
1.10,110.0,110.0,160.0,208.0,209.0,109.5,9.50,0,12.050,9.500,26.8
1.15,115.0,115.0,234.0,307.0,309.0,159.3,14.42,0,18.325,14.417,27.1
1.20,120.0,120.0,308.0,407.0,408.0,209.2,19.34,0,25.100,19.338,29.8
1.25,125.0,125.0,384.0,506.0,508.0,259.0,24.30,0,32.375,24.304,33.2
1.30,130.0,130.0,458.0,605.0,608.0,308.8,29.35,0,40.150,29.350,36.8
