strategy,elapsed_s,accepted,rejected,throughput_rps,p50_ms,p99_ms,max_buffered
token-bucket,1,199,1,199.0,10.0,10.0,0
token-bucket,2,100,100,100.0,10.0,10.0,0
token-bucket,3,100,100,100.0,10.0,10.0,0
token-bucket,4,100,100,100.0,10.0,10.0,0
token-bucket,5,100,100,100.0,10.0,10.0,0
bounded-queue,1,149,51,149.0,380.0,500.0,50
bounded-queue,2,100,100,100.0,500.0,500.0,50
bounded-queue,3,100,100,100.0,500.0,500.0,50
bounded-queue,4,100,100,100.0,500.0,500.0,50
bounded-queue,5,100,100,100.0,500.0,500.0,50
leaky-bucket,1,124,76,124.0,250.0,250.0,25
leaky-bucket,2,100,100,100.0,250.0,250.0,25
leaky-bucket,3,100,100,100.0,250.0,250.0,25
leaky-bucket,4,100,100,100.0,250.0,250.0,25
leaky-bucket,5,100,100,100.0,250.0,250.0,25
load-shedder,1,100,100,100.0,50.0,50.0,5
load-shedder,2,100,100,100.0,50.0,50.0,5
load-shedder,3,100,100,100.0,50.0,50.0,5
load-shedder,4,100,100,100.0,50.0,50.0,5
load-shedder,5,100,100,100.0,50.0,50.0,5
resilience4j-rate-limiter,1,100,100,100.0,10.0,10.0,0
resilience4j-rate-limiter,2,100,100,100.0,10.0,10.0,0
resilience4j-rate-limiter,3,100,100,100.0,10.0,10.0,0
resilience4j-rate-limiter,4,100,100,100.0,10.0,10.0,0
resilience4j-rate-limiter,5,100,100,100.0,10.0,10.0,0
